group,label,n,size_gb,chunk_gb,policy,seeds,source_gbps,down_gbps,peer_up_gbps,sink_gbps,memory_gbps,fabric_gbps,rack_gbps,rack_size,ordering,hop_delay_s,slots,root_mode,random_seed,slow_factor,source_memory_gbps,time_s,p50_s,p95_s,min_s,lower_bound_s,source_gb,peer_gb,cross_rack_gb,peak_source_gbps,peak_total_gbps,events,chunks,final_client_cache_gb,wall_seconds
limits,slow_peer_0.1_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,0.1,1000000000.0,1526.0000200010618,1524.7625200010573,1525.8762700010614,1523.5250200010528,1400.0,14000.0,0.0,14000.0,10.0,10.0,111999,560,14000.0,3.4524727499999983
limits_wide,fabric_100_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,100.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,1400.00002,1400.00002,1400.00002,1400.00002,1400.0,13999.999999999976,0.0,13999.999999999976,9.99999999999998,9.999999999999998,1119,560,14000.0,0.41060162499999997
limits_wide,fabric_10_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,10.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,1400.00002,1400.00002,1400.00002,1400.00002,1400.0,13999.999999999976,0.0,13999.999999999976,9.99999999999998,9.999999999999998,1119,560,14000.0,0.42321354200000005
limits_wide,fabric_400_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,400.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,1400.00002,1400.00002,1400.00002,1400.00002,1400.0,13999.999999999976,0.0,13999.999999999976,9.99999999999998,9.999999999999998,1119,560,14000.0,0.3890437499999999
limits_wide,fast_source_200_single_wide,100,140.0,0.25,single,1,200.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,70.00002,70.00002,70.00002,70.00002,70.0,13999.999999999969,0.0,13999.999999999969,200.0,200.0,1119,560,14000.0,0.27676716700000004
limits_wide,memory_10_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,10.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,1400.00002,1400.00002,1400.00002,1400.00002,1400.0,13999.999999999976,0.0,13999.999999999976,9.99999999999998,9.999999999999998,1119,560,14000.0,0.27821537500000004
limits_wide,peer_upload_1_single_wide,100,140.0,0.25,single,1,10.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,1400.00002,1400.00002,1400.00002,1400.00002,1400.0,13999.999999999976,0.0,13999.999999999976,9.99999999999998,9.999999999999998,1119,560,14000.0,0.2759175829999999
limits_wide,rack_2_local_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,2.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,7000.00002,7000.00002,7000.00002,7000.00002,1400.0,14000.000000000025,0.0,14000.000000000025,2.0000000000000013,1.9999999999999998,1119,560,14000.0,0.2703211670000001
limits_wide,rack_2_random_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,2.0,10,random,2e-05,100,fixed,42,1.0,1000000000.0,7000.00002,7000.00002,7000.00002,7000.00002,1400.0,14000.000000000025,0.0,14000.000000000025,2.0000000000000013,1.9999999999999998,1119,560,14000.0,0.28371987499999995
limits_wide,sink_1_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,1400.00002,1400.00002,1400.00002,1400.00002,1400.0,13999.999999999976,0.0,13999.999999999976,9.99999999999998,9.999999999999998,1119,560,14000.0,0.365428125
limits_wide,slow_peer_0.1_single_wide,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,0.1,1000000000.0,1400.00002,1400.00002,1400.00002,1400.00002,1400.0,13999.999999999976,0.0,13999.999999999976,9.99999999999998,9.999999999999998,1119,560,14000.0,0.27449220899999993
policy,rotating_slots4,100,140.0,1.0,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,4,rotating,0,1.0,1000000000.0,34.82622435931272,32.49354499919976,34.53208614795408,28.229734129050186,14.0,140.0000000000055,13859.999999918804,1525.9999999986026,10.0,690.0,27655,140,14000.0,6.440098958000007
scale,B10_N100_multi4,100,140.0,0.25,multi,4,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,350.00001999995555,349.7000199999558,349.9750199999556,349.4000199999561,350.0,14000.0,0.0,14000.0,40.0,40.0,27999,560,14000.0,1.053951916
scale,B10_N100_multi8,100,140.0,0.25,multi,8,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,182.00002000002425,181.70002000002418,181.97502000002424,167.725020000021,175.0,14000.0,0.0,14000.0,80.0,80.0,14559,560,14000.0,0.6824952080000002
scale,B10_N100_p2p1,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,16.47700000000415,15.238510000004204,16.35315100000416,14.000020000004223,14.0,140.00000000004303,13860.00000147864,1399.999999985743,10.0,1000.0,56658,560,14000.0,8.705679375
scale,B10_N100_single1,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.0000200007103,1398.7625200007058,1399.8762700007098,1397.5250200007013,1400.0,14000.0,0.0,14000.0,10.0,10.0,111999,560,14000.0,3.458856708
scale,B10_N16_multi4,16,140.0,0.25,multi,4,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,56.00001999999789,55.962519999997895,56.00001999999789,55.92501999999789,56.0,2240.0,0.0,2240.0,40.0,40.0,4479,560,2240.0,0.155416375
scale,B10_N16_multi8,16,140.0,0.25,multi,8,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,28.000019999999477,27.987519999999478,28.000019999999477,27.97501999999948,28.0,2240.0,0.0,2240.0,80.0,80.0,2239,560,2240.0,0.098144334
scale,B10_N16_p2p1,16,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.375320000000807,14.18767000000081,14.356555000000807,14.000020000000813,14.0,140.00000000000597,2099.999999995636,280.0000000000996,10.0,160.0,9534,560,2240.0,0.4590010830000001
scale,B10_N16_single1,16,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,224.0000200000338,223.81252000003377,223.9812700000338,223.62502000003371,224.0,2240.0,0.0,2240.0,10.0,10.0,17919,560,2240.0,0.5004561670000001
scale,B10_N1_p2p1,1,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.00002000000013,14.00002000000013,14.00002000000013,14.00002000000013,14.0,140.0,0.0,140.0,10.0,10.0,1119,560,140.0,0.189236166
scale,B10_N1_single1,1,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.00002000000013,14.00002000000013,14.00002000000013,14.00002000000013,14.0,140.0,0.0,140.0,10.0,10.0,1119,560,140.0,0.15133879099999997
scale,B10_N32_multi4,32,140.0,0.25,multi,4,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,112.00002000000835,111.91252000000833,112.00002000000835,111.82502000000831,112.0,4480.0,0.0,4480.0,40.0,40.0,8959,560,4480.0,0.31282558299999996
scale,B10_N32_multi8,32,140.0,0.25,multi,8,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,56.00001999999789,55.962519999997895,56.00001999999789,55.92501999999789,56.0,4480.0,0.0,4480.0,80.0,80.0,4479,560,4480.0,0.20378399999999997
scale,B10_N32_p2p1,32,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14.775640000001653,14.38783000000166,14.736859000001653,14.000020000001665,14.0,140.000000000012,4339.999999989882,560.0000000002569,10.0,320.0,18510,560,4480.0,1.2717213330000001
scale,B10_N32_single1,32,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,448.0000199998664,447.6125199998668,447.96126999986643,447.22501999986713,448.0,4480.0,0.0,4480.0,10.0,10.0,35839,560,4480.0,1.0125528750000001
scale,B10_N50_multi4,50,140.0,0.25,multi,4,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,182.00002000002425,181.70002000002418,181.97502000002424,167.725020000021,175.0,7000.0,0.0,7000.0,40.0,40.0,14559,560,7000.0,0.5311970830000001
scale,B10_N50_multi8,50,140.0,0.25,multi,8,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,98.00002000000516,83.97502000000198,97.97502000000516,83.87502000000195,87.5,7000.0,0.0,7000.0,80.0,80.0,7839,560,7000.0,0.3410019169999998
scale,B10_N50_p2p1,50,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,15.226000000002712,14.61301000000272,15.164701000002713,14.000020000002731,14.0,140.00000000001623,6860.000000188677,699.9999999991155,10.0,500.0,28608,560,7000.0,2.630461542
scale,B10_N50_single1,50,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,700.0000199996372,699.3875199996378,699.9387699996372,698.7750199996383,700.0,7000.0,0.0,7000.0,10.0,10.0,55999,560,7000.0,1.653694542
scale,B10_N8_multi4,8,140.0,0.25,multi,4,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,28.000019999999477,27.987519999999478,28.000019999999477,27.97501999999948,28.0,1120.0,0.0,1120.0,40.0,40.0,2239,560,1120.0,0.18014941700000003
